file,cluster
05-067-09077_400942928__3626107___2015-06-11.tif,1
05-067-06303_400907111__3588738___2015-04-13.tif,1
05-071-07636_2514231__2920307___2012-05-11.tif,1
05-067-09236_1631284__2202377___2009-09-10.tif,2
05-067-08928_2521110__2534852___2010-06-25.tif,1
05-067-07645_2214808__2732182___2011-06-23.tif,1
05-067-09152_17777295__2040179___2007-12-10.tif,2
05-067-08503_401004677__3639293___2015-07-06.tif,0
05-067-07490_401103455__3932680___2016-08-18.tif,2
05-071-09398_2169287__2946717___2012-06-29.tif,1
05-067-07353_1793418__2050382___2007-08-09.tif,2
05-067-09682_400963334__3611588___2015-05-18.tif,1
05-067-09402_401160198__4007312___2016-11-14.tif,0
05-067-05091_17778166__2050829___2007-09-17.tif,0
05-067-09148_401009102__3626585___2015-06-15.tif,0
05-067-08896_2213042__2672583___2010-12-17.tif,0
05-067-09586_2214868__2732242___2011-06-20.tif,1
05-067-09175_400751364__3262631___2011-11-14.tif,0
05-067-06295_1173117__275241___2003-06-18.tif,1
05-067-05613_17777382__2038830___2007-12-10.tif,0
05-067-05131_400827227__3569319___2015-03-12.tif,1
05-067-08788_17777278__2040195___2007-12-10.tif,2
05-067-09271_17777789__2048030___2008-05-01.tif,1
05-067-09715_400826658__3588983___2015-04-13.tif,1
05-067-08026_401168461__4026360___2016-12-12.tif,2
05-067-09152_401196925__3916668___2016-07-28.tif,0
05-067-07454_2222597__2867810___2011-11-14.tif,0
05-067-06877_1794457__2061744___2007-04-09.tif,2
05-071-08688_2514249__2920298___2012-05-11.tif,1
05-071-06531_1629343__2160782___2009-10-07.tif,1
05-067-07879_17777223__2040092___2007-12-10.tif,0
05-067-08906_17778205__2050818___2007-09-07.tif,0
05-071-08150_2514304__2925348___2012-05-18.tif,1
05-067-06993_1794470__2061731___2007-03-23.tif,2
05-067-06322_1793522__2050464___2009-04-30.tif,2
05-067-07813_2222370__2860723___2011-11-16.tif,1
05-067-09253_401126193__3962625___2016-09-22.tif,0
05-067-07276_2447334__2862555___2011-11-16.tif,0
05-067-08978_401117771__3900525___2016-06-29.tif,1
05-067-05081_401194216__4054655___2017-01-17.tif,0
05-067-07417_1631294__2202367___2009-09-10.tif,1
05-067-07109_401168683__3997390___2016-11-08.tif,1
05-067-09133_2222629__2867842___2011-11-14.tif,0
05-067-08504_1794370__2061830___2007-04-09.tif,2
05-067-09336_2541075__2794349___2011-08-12.tif,2
05-067-09267_1631313__2202348___2009-09-10.tif,2
05-071-08157_400762176__3413305___2014-08-07.tif,1
05-067-08758_2221654__2845164___2011-09-22.tif,2
05-067-08203_1173047__895437___2001-11-02.tif,2
05-071-09145_400764160__3405245___2014-08-07.tif,1
05-067-07517_400843474__3588916___2015-04-13.tif,1
05-067-07077_401125669__3967203___2016-09-30.tif,1
05-067-09648_400909952__3663161___2015-08-14.tif,1
05-067-05505_17777712__2047892___2008-05-27.tif,0
05-067-09469_1701518__2040594___2009-04-03.tif,2
05-067-08112_2213035__2672576___2010-12-17.tif,0
05-067-07138_1794293__2061960___2007-04-18.tif,2
05-067-09207_401010723__3637928___2015-07-01.tif,0
05-067-05154_17778130__2044345___2007-09-06.tif,2
05-067-05225_401160897__3997338___2016-11-08.tif,1
05-067-07362_400847146__3588834___2015-04-13.tif,1
05-067-09442_1631309__2202352___2009-09-10.tif,2
05-067-08132_401044634__3516201___2014-12-26.tif,0
05-067-06728_401048796__3641558___2015-07-09.tif,1
05-045-07733_2523208__2630287___2010-12-08.tif,1
05-067-08659_2222142__2856656___2011-11-16.tif,0
05-067-06710_1793071__2057005___2007-05-24.tif,2
05-067-07593_2214807__2732181___2011-06-23.tif,1
05-067-06810_401121362__3900455___2016-06-29.tif,1
05-067-08376_400948093__3626027___2015-06-11.tif,1
05-067-07649_2222156__2856670___2011-11-16.tif,0
05-067-08873_400748260__3347849___2009-06-30.tif,0
05-067-05439_1793833__2061632___2006-12-14.tif,0
05-067-06591_401190409__4054595___2017-01-17.tif,0
05-067-07610_401121578__3900511___2016-06-29.tif,1
05-067-07399_894439__552554___1999-12-01.tif,1
05-067-07347_401103536__3932700___2016-08-18.tif,1
05-067-08718_1793147__2050226___2007-06-20.tif,2
05-071-09587_1629473__2162461___2009-09-23.tif,1
05-067-06955_401126177__3962642___2016-09-22.tif,0
05-071-07266_2524650__2669893___2010-11-16.tif,1
05-067-08341_400748185__3347788___2009-04-30.tif,0
05-067-07534_2215464__2764142___2011-08-19.tif,1
05-071-08835_400767333__3413326___2014-08-08.tif,1
05-067-09361_2214829__2732203___2011-06-23.tif,1
05-067-10668_2222293__2860646___2011-11-16.tif,0
05-067-06802_2521128__2534870___2010-05-21.tif,0
05-067-05093_400820589__3277373___2010-09-22.tif,0
05-067-06483_400846604__3588873___2015-04-13.tif,1
05-067-07916_1793196__2057072___2009-05-15.tif,2
05-071-08175_2524451__2665471___2010-11-02.tif,1
05-071-09180_400726971__3475602___2014-08-06.tif,1
05-067-07931_400786251__3271410___2009-12-30.tif,0
05-067-05416_401014704__3644336___2015-07-16.tif,0
05-067-06483_401125376__3967235___2016-09-30.tif,1
05-067-09034_400967126__3611555___2015-05-18.tif,1
05-067-07199_2541089__2794363___2011-08-12.tif,2
05-071-08261_1629664__2164587___2009-08-07.tif,1
05-067-09213_17777506__2044188___2008-08-25.tif,0
05-071-07865_1629452__2162483___2009-09-23.tif,1
05-067-07390_401047407__3641534___2015-07-09.tif,1
05-067-09863_401134981__3924856___2016-08-08.tif,0
05-067-09486_2213566__2692386___2011-03-31.tif,2
05-071-06073_2223699__2896962___2012-03-23.tif,1
05-067-06973_1793145__2050228___2007-06-20.tif,2
05-067-09192_17777400__2038815___2007-12-10.tif,0
05-067-08742_401197152__3948957___2016-09-06.tif,0
05-067-07734_1331467__834690___1999-08-02.tif,1
05-067-09012_2222297__2860650___2011-11-16.tif,0
05-067-06853_400795879__3386017___2014-07-14.tif,0
05-067-08353_1793392__2050402___2007-07-25.tif,2
05-067-05414_1793257__2056915___2007-07-06.tif,0
05-067-09503_400947724__3626077___2015-06-11.tif,1
05-067-07734_1331467__733631___1999-08-02.tif,1
05-067-08399_2510379__2532948___2009-08-27.tif,2
05-077-09309_2523209__2630288___2010-12-08.tif,1
05-067-05416_400719672__3459509___2010-06-01.tif,0
05-067-06138_400723419__3473600___2014-11-03.tif,0
05-067-08364_17777934__2044276___2007-10-04.tif,2
05-067-09023_2524959__2672603___2010-11-08.tif,0
05-071-09383_2608161__2515701___2010-03-05.tif,1
05-067-09654_400801662__3555637___2011-06-08.tif,0
